open,high,low,close,volume,tradingDate
14100.0,14100.0,10100.0,12400.0,10430600,2015-12-22
13500.0,19300.0,12200.0,19300.0,2094100,2015-12-28
21000.0,21200.0,14800.0,19800.0,2192800,2016-01-04
19800.0,21800.0,17700.0,21200.0,1475800,2016-01-11
21200.0,27900.0,19000.0,27900.0,1396500,2016-01-18
29900.0,31200.0,23200.0,23200.0,1212200,2016-01-25
24400.0,29800.0,23800.0,28600.0,702710,2016-02-01
29200.0,40000.0,28200.0,35300.0,911400,2016-02-15
35300.0,43900.0,35300.0,39400.0,996120,2016-02-22
41700.0,42100.0,38200.0,40900.0,490460,2016-02-29
42000.0,43200.0,40400.0,42400.0,336600,2016-03-07
42500.0,47500.0,40500.0,45200.0,525000,2016-03-14
46000.0,80000.0,46000.0,78000.0,572280,2016-03-21
80000.0,81000.0,55600.0,55600.0,759049,2016-03-28
48100.0,83000.0,48000.0,72000.0,341111,2016-04-04
74100.0,77700.0,63000.0,66000.0,208249,2016-04-11
72500.0,77700.0,68300.0,74000.0,141200,2016-04-19
75000.0,95000.0,66900.0,76800.0,317506,2016-04-25
75900.0,81900.0,75000.0,78000.0,135205,2016-05-04
77100.0,81900.0,74600.0,75800.0,165689,2016-05-09
75000.0,81500.0,74500.0,77000.0,104839,2016-05-16
78400.0,78400.0,74700.0,75300.0,88310,2016-05-23
75400.0,84000.0,75200.0,81000.0,127229,2016-05-30
85000.0,88000.0,81000.0,83400.0,130334,2016-06-06
81600.0,82500.0,80000.0,81000.0,124820,2016-06-13
80500.0,82000.0,66000.0,72000.0,169305,2016-06-20
71000.0,87800.0,70000.0,82500.0,149300,2016-06-27
81000.0,81200.0,77900.0,79000.0,155210,2016-07-04
79000.0,79000.0,72000.0,73800.0,126730,2016-07-11
74400.0,76800.0,72000.0,74000.0,131059,2016-07-18
74900.0,75000.0,70500.0,70500.0,119320,2016-07-25
71900.0,71900.0,47600.0,56100.0,479900,2016-08-01
62500.0,71800.0,61200.0,0.0,306800,2016-08-08
65900.0,65900.0,60000.0,61500.0,164730,2016-08-15
61500.0,68800.0,59800.0,66300.0,112177,2016-08-22
68500.0,69500.0,66000.0,69300.0,101086,2016-08-29
71900.0,81000.0,71000.0,75200.0,181576,2016-09-05
77000.0,77000.0,73000.0,73700.0,72800,2016-09-12
73500.0,73700.0,68500.0,69800.0,84730,2016-09-19
69800.0,76500.0,69800.0,75200.0,130460,2016-09-26
75000.0,77000.0,71200.0,72500.0,105600,2016-10-03
73200.0,75000.0,63000.0,67000.0,155870,2016-10-10
65900.0,67800.0,61800.0,61900.0,138401,2016-10-17
60000.0,60000.0,51300.0,53900.0,252100,2016-10-24
58900.0,67000.0,52000.0,54000.0,134200,2016-10-31
54000.0,56700.0,45000.0,47000.0,292900,2016-11-07
46200.0,54000.0,44500.0,49100.0,187550,2016-11-14
49600.0,54700.0,47100.0,49200.0,145320,2016-11-21
49600.0,49600.0,41300.0,41900.0,210550,2016-11-28
41300.0,48500.0,40000.0,44200.0,158301,2016-12-05
44000.0,44900.0,40000.0,40600.0,132725,2016-12-12
40000.0,43000.0,40000.0,42800.0,156641,2016-12-19
42900.0,42900.0,41400.0,42500.0,145300,2016-12-26
41900.0,44000.0,41300.0,42700.0,88100,2017-01-03
43900.0,44000.0,41600.0,41900.0,78200,2017-01-09
41600.0,41800.0,40200.0,41000.0,119200,2017-01-16
40300.0,41000.0,40100.0,40600.0,53530,2017-01-23
41500.0,41500.0,40000.0,40000.0,16149,2017-02-02
40000.0,42700.0,37000.0,40400.0,185300,2017-02-06
40200.0,43500.0,38700.0,41800.0,151600,2017-02-13
41000.0,57900.0,41000.0,48500.0,289860,2017-02-20
49000.0,55000.0,49000.0,52000.0,104320,2017-02-27
52300.0,62400.0,52100.0,62000.0,193654,2017-03-06
62000.0,68500.0,60000.0,61900.0,145041,2017-03-13
61100.0,61900.0,56000.0,58800.0,123878,2017-03-20
57800.0,64000.0,57800.0,60800.0,40701,2017-03-27
62000.0,62000.0,59100.0,60700.0,35400,2017-04-03
59900.0,61000.0,56500.0,58100.0,40200,2017-04-10
58200.0,62000.0,56500.0,57600.0,29620,2017-04-17
57000.0,58200.0,56900.0,57000.0,36070,2017-04-24
55100.0,56800.0,53100.0,53800.0,61020,2017-05-03
54000.0,56500.0,49000.0,50000.0,102410,2017-05-08
51000.0,53000.0,50000.0,50000.0,47310,2017-05-15
50500.0,51200.0,47100.0,49200.0,33200,2017-05-22
50000.0,50000.0,45000.0,50287.0,25000,2017-05-29
51000.0,59000.0,51000.0,53900.0,24820,2017-06-05
53100.0,56200.0,51300.0,52500.0,17410,2017-06-12
52500.0,52700.0,50000.0,51000.0,12800,2017-06-19
51900.0,52800.0,49600.0,49700.0,14050,2017-06-26
50000.0,50000.0,49000.0,49000.0,13505,2017-07-03
49500.0,51700.0,49000.0,51500.0,21100,2017-07-10
51900.0,54700.0,50000.0,50000.0,20606,2017-07-17
49600.0,51800.0,49600.0,50000.0,15800,2017-07-24
50200.0,56000.0,50200.0,55000.0,38120,2017-07-31
55000.0,65000.0,55000.0,55000.0,54933,2017-08-07
53100.0,54000.0,51300.0,53200.0,27900,2017-08-14
54000.0,56000.0,53000.0,55600.0,25506,2017-08-21
55100.0,59000.0,54600.0,58000.0,30300,2017-08-28
58600.0,59000.0,57500.0,58200.0,13500,2017-09-05
60000.0,63000.0,59000.0,61000.0,71513,2017-09-11
63000.0,63000.0,60500.0,60500.0,26000,2017-09-18
60600.0,61900.0,58000.0,60500.0,41129,2017-09-25
63000.0,68000.0,60000.0,66500.0,54810,2017-10-02
65200.0,70400.0,65200.0,68900.0,103030,2017-10-09
69000.0,69200.0,65000.0,67700.0,29359,2017-10-16
69000.0,69000.0,63500.0,63500.0,35800,2017-10-23
63900.0,64100.0,58100.0,60300.0,48800,2017-10-30
61200.0,67400.0,60500.0,64000.0,47900,2017-11-06
61600.0,63000.0,61000.0,62000.0,17300,2017-11-13
63000.0,65500.0,62500.0,63100.0,17810,2017-11-20
63100.0,64500.0,62200.0,64500.0,36300,2017-11-27
63600.0,64000.0,61200.0,62000.0,50300,2017-12-04
62300.0,63300.0,59500.0,59500.0,21100,2017-12-11
60600.0,64800.0,60100.0,62200.0,32700,2017-12-18
62400.0,63100.0,62100.0,63100.0,42300,2017-12-25
63000.0,63000.0,59600.0,60200.0,31600,2018-01-02
60000.0,60900.0,57600.0,59000.0,78200,2018-01-08
58500.0,59200.0,53000.0,57500.0,50100,2018-01-15
59000.0,59000.0,54100.0,55000.0,36810,2018-01-22
55000.0,57000.0,51000.0,53800.0,18100,2018-01-29
54000.0,54000.0,50000.0,52000.0,26910,2018-02-05
51600.0,55000.0,51600.0,55000.0,8700,2018-02-12
54500.0,54500.0,51600.0,52500.0,5800,2018-02-21
52000.0,54000.0,51000.0,52500.0,57000,2018-02-26
53000.0,58000.0,53000.0,58000.0,33540,2018-03-05
59000.0,60400.0,54000.0,54000.0,35340,2018-03-12
54300.0,56000.0,51000.0,53000.0,10700,2018-03-19
53000.0,53500.0,51900.0,52500.0,7600,2018-03-26
52600.0,60500.0,52600.0,58000.0,41940,2018-04-02
58100.0,58500.0,57000.0,58200.0,29600,2018-04-09
58200.0,61000.0,58000.0,58000.0,36500,2018-04-16
56000.0,57000.0,54500.0,54500.0,17300,2018-04-23
51100.0,57500.0,51000.0,53000.0,22700,2018-05-02
54500.0,58000.0,54000.0,54900.0,20189,2018-05-07
57000.0,57000.0,53700.0,55000.0,12700,2018-05-14
53000.0,62500.0,51000.0,54000.0,6900,2018-05-21
52900.0,58700.0,48500.0,52500.0,17100,2018-05-28
52700.0,55500.0,52200.0,54500.0,7800,2018-06-04
55000.0,55000.0,52000.0,55000.0,6900,2018-06-11
51100.0,52000.0,48100.0,50800.0,15400,2018-06-18
53900.0,53900.0,50000.0,50200.0,11400,2018-06-25
50000.0,52300.0,48500.0,49800.0,3800,2018-07-02
49500.0,50000.0,48000.0,48000.0,8300,2018-07-09
48200.0,54000.0,48000.0,49000.0,6900,2018-07-16
53800.0,55600.0,48500.0,50000.0,10140,2018-07-23
50000.0,51000.0,48500.0,50000.0,9839,2018-07-30
51500.0,51500.0,49000.0,49900.0,8300,2018-08-06
49500.0,50000.0,48500.0,49200.0,5800,2018-08-13
49800.0,62500.0,49500.0,61000.0,80250,2018-08-20
61000.0,61000.0,55000.0,60000.0,28800,2018-08-27
60600.0,60600.0,56100.0,59300.0,12360,2018-09-04
60000.0,69300.0,58500.0,62000.0,10120,2018-09-10
61900.0,66000.0,61900.0,63800.0,36760,2018-09-17
62200.0,65000.0,61000.0,62700.0,27700,2018-09-24
64700.0,66000.0,62000.0,63100.0,23500,2018-10-01
63900.0,72000.0,63000.0,65900.0,24300,2018-10-08
65900.0,67000.0,63100.0,64700.0,4800,2018-10-15
64000.0,65000.0,63000.0,64000.0,16400,2018-10-22
63000.0,64000.0,62000.0,62100.0,23620,2018-10-29
64000.0,72100.0,62100.0,64500.0,12700,2018-11-05
65000.0,66000.0,63000.0,65500.0,9890,2018-11-12
64700.0,66000.0,63600.0,64000.0,26300,2018-11-19
65000.0,77300.0,65000.0,77300.0,91380,2018-11-26
85000.0,100000.0,82900.0,98400.0,283731,2018-12-03
96500.0,99000.0,81700.0,81700.0,181295,2018-12-10
80000.0,84000.0,75900.0,78000.0,125700,2018-12-17
79000.0,81000.0,70000.0,71400.0,101240,2018-12-24
71700.0,78500.0,71700.0,78500.0,30800,2019-01-02
