index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,VNM,4,2024,13.7,4.0,11.0,,0.294,0.174,112.0,60.0,39.0,34.9,4494.0,15444.0,,,,,,0.586,,,1.9,2.0,1.7,-0.021,5981.0,0.401,0.149,0.137,0.3,0.2,0.7,57.7,1.7,19094.0,0.062,0.017,132.0,3.3,-0.138,1.1,0.8,0.149,1.1,,,,,,,,,0.5,,-0.031,0.029,,2025-01-01
2024-10-01,VNM,3,2024,15.2,4.6,10.8,,0.309,0.17,106.0,60.0,36.0,42.2,4590.0,15010.0,,,,,,0.544,,,1.6,1.8,1.6,-0.009,6172.0,0.412,0.17,0.155,0.2,0.1,0.6,52.5,1.8,18561.0,0.074,0.02,129.0,3.5,-0.157,1.1,0.8,0.17,1.1,,,,,,,,,0.6,,-0.002,-0.087,,2024-10-01
2024-07-01,VNM,2,2024,13.6,3.8,11.6,,0.286,0.184,122.0,65.0,36.0,47.2,4633.0,16433.0,,,,,,0.634,,,2.4,2.4,2.0,0.051,6184.0,0.424,0.182,0.16,0.2,0.1,0.6,42.5,1.6,21929.0,0.031,0.009,151.0,3.0,-0.139,1.2,0.8,0.182,1.1,,,,,,,,,0.4,,0.042,0.078,,2024-07-01
2024-04-01,VNM,1,2024,14.7,4.3,12.1,,0.291,0.183,114.0,69.0,43.0,28.0,4407.0,15241.0,,,,,,0.617,,,2.3,2.3,1.8,0.038,5933.0,0.419,0.172,0.156,0.2,0.1,0.6,31.2,1.6,19720.0,0.05,0.013,140.0,3.2,-0.131,1.2,0.8,0.172,1.1,,,,,,,,,0.4,,0.027,0.005,,2024-04-01
2024-01-01,VNM,4,2023,15.1,4.2,11.6,,0.288,0.175,106.0,59.0,41.0,25.4,4245.0,15166.0,,,,,,0.602,,,2.0,2.1,1.7,0.054,5776.0,0.412,0.156,0.149,0.2,0.2,0.6,34.5,1.7,18797.0,0.083,0.021,125.0,3.4,-0.128,1.2,0.8,0.156,1.2,,,,,,,,,0.5,,0.055,0.034,,2024-01-01
2023-10-01,VNM,3,2023,17.3,4.8,12.5,,0.272,0.159,106.0,58.0,35.0,34.4,4027.0,14668.0,,,,,,0.558,,,1.6,1.8,1.6,0.024,5476.0,0.419,0.175,0.159,0.2,0.1,0.7,24.3,1.8,17281.0,0.202,0.049,129.0,3.5,-0.133,1.1,0.8,0.175,1.1,,,,,,,,,0.6,,0.002,-0.084,,2023-10-01
2023-07-01,VNM,2,2023,16.4,4.0,13.1,,0.243,0.157,121.0,67.0,37.0,26.3,3934.0,16013.0,,,,,,0.657,,,2.6,2.4,2.0,0.014,5465.0,0.405,0.166,0.145,0.2,0.1,0.7,21.9,1.5,19661.0,0.043,0.011,151.0,3.0,-0.14,1.1,0.8,0.166,1.1,,,,,,,,,0.4,,0.012,0.062,,2023-07-01
2023-04-01,VNM,1,2023,17.4,4.5,15.0,,0.255,0.159,109.0,72.0,45.0,25.1,3879.0,15072.0,,,,,,0.639,,,2.3,2.2,1.8,-0.048,5401.0,0.388,0.149,0.133,0.2,0.1,0.8,112.8,1.6,17987.0,0.058,0.012,136.0,3.3,-0.128,1.2,0.8,0.149,1.1,,,,,,,,,0.4,,-0.047,0.055,,2023-04-01
2023-01-01,VNM,4,2022,17.0,4.8,13.1,,0.271,0.167,107.0,62.0,45.0,38.7,4074.0,14282.0,,,,,,0.616,,,2.1,2.1,1.7,-0.037,5669.0,0.388,0.137,0.124,0.2,0.1,0.6,73.7,1.6,16252.0,0.07,0.016,125.0,3.4,-0.118,1.2,0.8,0.137,1.1,,,,,,,,,0.5,,-0.032,-0.041,,2023-01-01
2022-10-01,VNM,3,2022,15.3,4.3,14.3,,0.284,0.171,102.0,62.0,37.0,53.8,4231.0,14900.0,,,,,,0.608,,,2.0,2.0,1.7,-0.066,5857.0,0.395,0.167,0.143,0.3,0.2,0.8,131.4,1.6,17390.0,0.085,0.017,128.0,3.6,-0.111,1.2,0.8,0.167,1.1,,,,,,,,,0.5,,-0.045,-0.088,,2022-10-01
