index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,MSN,4,2024,48.7,3.2,15.7,,0.07,0.014,-26.0,75.0,44.0,1.7,1389.0,21025.0,,,,,,0.205,,,0.4,0.9,0.7,0.472,7002.0,0.311,0.112,0.03,1.6,0.4,6.6,0.7,4.9,-5143.0,0.457,0.191,5.0,,-0.078,0.6,0.3,0.112,1.0,,,,,,,,,2.6,,0.177,0.025,,2025-01-01
2024-10-01,MSN,3,2024,80.2,3.7,18.5,,0.048,0.009,-37.0,85.0,45.0,0.9,944.0,20512.0,,,,,,0.191,,,0.4,0.8,0.6,0.925,5951.0,0.299,0.075,0.033,1.6,0.4,7.7,0.8,5.2,-10137.0,0.321,0.135,3.0,,-0.047,0.5,0.4,0.075,1.0,,,,,,,,,2.7,,0.045,-0.123,,2024-10-01
2024-07-01,MSN,2,2024,152.3,3.2,21.1,,0.023,0.005,-32.0,85.0,42.0,0.8,490.0,23380.0,,,,,,0.214,,,0.4,1.0,0.7,1.289,5694.0,0.294,0.065,0.025,1.5,0.4,8.1,0.8,4.7,-2348.0,0.393,0.159,11.0,,-0.035,0.5,0.4,0.065,0.9,,,,,,,,,2.4,,0.009,0.258,,2024-07-01
2024-04-01,MSN,1,2024,346.4,4.0,21.8,,0.012,0.002,-38.0,86.0,41.0,0.4,214.0,18582.0,,,,,,0.182,,,0.4,0.9,0.6,-0.264,5644.0,0.279,0.037,0.006,1.8,0.5,9.0,0.7,5.5,-6799.0,0.219,0.083,7.0,,-0.041,0.5,0.2,0.037,0.9,,,,,,,,,2.8,,-0.03,0.006,,2024-04-01
2024-01-01,MSN,4,2023,230.2,3.6,20.0,,0.016,0.003,-57.0,90.0,46.0,0.5,291.0,18465.0,,,,,,0.18,,,0.4,0.9,0.6,-0.487,5817.0,0.278,0.044,0.002,1.8,0.5,8.5,0.7,5.5,-6659.0,0.265,0.106,-13.0,,-0.052,0.5,0.1,0.044,1.0,,,,,,,,,2.9,,-0.061,-0.008,,2024-01-01
2023-10-01,MSN,3,2023,134.6,4.1,18.6,,0.031,0.006,-77.0,92.0,43.0,0.8,567.0,18620.0,,,,,,0.185,,,0.4,0.9,0.6,-0.378,6192.0,0.295,0.067,0.002,1.8,0.5,7.3,0.6,5.4,-6183.0,0.249,0.101,-28.0,,-0.067,0.6,0.1,0.067,0.4,,,,,,,,,2.8,,0.017,0.011,,2023-10-01
2023-07-01,MSN,2,2023,82.5,4.1,17.6,,0.047,0.01,-64.0,90.0,45.0,0.6,911.0,18422.0,,,,,,0.188,,,0.4,0.8,0.6,-0.401,6091.0,0.286,0.053,0.006,1.8,0.5,7.2,0.8,5.3,-11620.0,0.235,0.107,-19.0,,-0.081,0.6,0.2,0.053,0.5,,,,,,,,,2.8,,-0.106,0.004,,2023-07-01
2023-04-01,MSN,1,2023,51.2,4.2,21.8,,0.081,0.016,-24.0,88.0,43.0,0.5,1519.0,18350.0,,,,,,0.181,,,0.3,0.8,0.6,-0.387,6811.0,0.272,0.049,0.011,2.0,0.5,7.6,1.0,5.5,-9542.0,0.437,0.132,21.0,,-0.098,0.6,0.4,0.049,0.6,,,,,,,,,2.9,,-0.023,0.009,,2023-04-01
2023-01-01,MSN,4,2022,37.5,5.1,18.5,,0.121,0.027,-21.0,90.0,50.0,0.9,2479.0,18182.0,,,,,,0.185,,,0.3,0.7,0.5,-0.627,6970.0,0.269,0.067,0.022,1.9,0.5,7.1,1.3,5.4,-17646.0,0.378,0.135,20.0,,-0.097,0.6,0.5,0.067,0.7,,,,,,,,,2.9,,-0.107,0.02,,2023-01-01
2022-10-01,MSN,3,2022,14.9,5.6,20.7,,0.405,0.076,-68.0,90.0,48.0,1.0,6644.0,17833.0,,,,,,0.2,,,0.4,0.6,0.4,-0.059,7807.0,0.278,0.059,0.028,1.7,0.5,6.0,1.9,5.0,-26809.0,0.17,0.042,-27.0,,-0.083,0.6,0.6,0.059,0.8,,,,,,,,,2.6,,-0.07,-0.122,,2022-10-01
