index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,MBB,4,2024,11142.0,0.216,0.07,,,-5247.0,16564.0,0.41,0.304,,8093.0,6382.0,6284.0,0.26,0.085,3038,1181,1203,-3224,11317,,2025-01-01,2024-10-01
2024-10-01,MBB,3,2024,10417.0,0.062,-0.011,,,-3756.0,12704.0,0.053,-0.101,,7308.0,5843.0,5790.0,0.003,-0.039,721,888,678,-1640,8948,,2024-10-01,2024-07-01
2024-07-01,MBB,2,2024,10531.0,0.111,0.162,,,-4491.0,14129.0,0.222,0.176,,7633.0,6102.0,6027.0,0.232,0.33,1208,1354,1035,-2006,9639,,2024-07-01,2024-04-01
2024-04-01,MBB,1,2024,9062.0,-0.114,-0.011,,,-3514.0,12017.0,0.007,0.023,,5795.0,4624.0,4533.0,-0.098,-0.091,1645,945,364,-2707,8502,,2024-04-01,2024-01-01
2024-01-01,MBB,4,2023,9163.0,-0.048,-0.066,,,-3876.0,11750.0,0.0,-0.026,,6287.0,5045.0,4986.0,0.452,-0.136,370,1456,761,-1587,7874,,2024-01-01,2023-10-01
2023-10-01,MBB,3,2023,9812.0,0.086,0.035,,,-3334.0,12065.0,0.098,0.044,,7284.0,5821.0,5773.0,0.183,0.18,604,1079,571,-1447,8731,,2023-10-01,2023-07-01
2023-07-01,MBB,2,2023,9481.0,0.057,-0.073,,,-4135.0,11561.0,0.03,-0.031,,6223.0,4982.0,4893.0,0.058,-0.026,590,861,629,-1203,7426,,2023-07-01,2023-04-01
2023-04-01,MBB,1,2023,10227.0,0.22,0.062,,,-3568.0,11930.0,0.026,0.015,,6512.0,5206.0,5024.0,0.105,0.463,546,690,467,-1850,8362,,2023-04-01,2023-01-01
2023-01-01,MBB,4,2022,9630.0,0.343,0.065,,,-3628.0,11751.0,0.162,0.07,,4538.0,3600.0,3434.0,-0.026,-0.296,447,1224,451,-3585,8123,,2023-01-01,2022-10-01
2022-10-01,MBB,3,2022,9039.0,0.387,0.008,,,-3729.0,10986.0,0.263,-0.021,,6296.0,5035.0,4879.0,0.614,0.055,578,784,585,-962,7257,,2022-10-01,2022-07-01
2022-07-01,MBB,2,2022,8969.0,0.367,0.07,,,-3861.0,11222.0,0.257,-0.035,,5987.0,4794.0,4623.0,0.781,0.017,675,1010,567,-1375,7361,,2022-07-01,2022-04-01
2022-04-01,MBB,1,2022,8385.0,0.409,0.17,,,-3598.0,11633.0,0.265,0.15,,5910.0,4726.0,4546.0,0.28,0.289,1592,1117,538,-2126,8035,,2022-04-01,2022-01-01
2022-01-01,MBB,4,2021,7170.0,0.237,0.1,,,-3463.0,10117.0,0.311,0.163,,4643.0,3702.0,3526.0,0.826,0.167,694,1345,908,-2011,6654,,2022-01-01,2021-10-01
2021-10-01,MBB,3,2021,6515.0,0.261,-0.007,,,-3024.0,8700.0,0.292,-0.025,,3898.0,3122.0,3022.0,0.282,0.164,772,926,486,-1778,5676,,2021-10-01,2021-07-01
2021-07-01,MBB,2,2021,6563.0,0.419,0.103,,,-3087.0,8925.0,0.358,-0.029,,3406.0,2730.0,2596.0,0.147,-0.269,689,1030,643,-2431,5838,,2021-07-01,2021-04-01
2021-04-01,MBB,1,2021,5952.0,0.268,0.027,,,-2804.0,9193.0,0.45,0.192,,4580.0,3666.0,3553.0,1.075,0.84,958,1066,1217,-1809,6389,,2021-04-01,2021-01-01
