index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,HCM,4,2024,1182.0,0.372,0.039,-794.0,388.0,-103.0,284.0,0.265,0.034,0.0,285.0,227.0,227.0,0.266,0.021,,,,,,292.0,2025-01-01,2024-10-01
2024-10-01,HCM,3,2024,1138.0,0.381,0.04,-761.0,376.0,-101.0,275.0,0.033,-0.293,0.0,275.0,222.0,222.0,0.039,-0.29,,,,,,282.0,2024-10-01,2024-07-01
2024-07-01,HCM,2,2024,1094.0,0.862,0.267,-586.0,508.0,-119.0,389.0,0.985,0.128,0.0,390.0,313.0,313.0,0.993,0.132,,,,,,397.0,2024-07-01,2024-04-01
2024-04-01,HCM,1,2024,863.0,0.369,0.002,-414.0,449.0,-105.0,345.0,1.25,0.533,0.0,346.0,277.0,277.0,1.237,0.544,,,,,,352.0,2024-04-01,2024-01-01
2024-01-01,HCM,4,2023,861.0,-0.028,0.046,-529.0,333.0,-108.0,225.0,0.413,-0.155,0.0,225.0,179.0,179.0,0.43,-0.163,,,,,,233.0,2024-01-01,2023-10-01
2023-10-01,HCM,3,2023,824.0,0.085,0.402,-469.0,354.0,-88.0,266.0,0.296,0.359,0.0,266.0,214.0,214.0,0.297,0.362,,,,,,274.0,2023-10-01,2023-07-01
2023-07-01,HCM,2,2023,588.0,-0.505,-0.068,-307.0,281.0,-85.0,196.0,-0.438,0.279,0.0,196.0,157.0,157.0,-0.437,0.27,,,,,,204.0,2023-07-01,2023-04-01
2023-04-01,HCM,1,2023,630.0,-0.41,-0.289,-391.0,239.0,-86.0,153.0,-0.565,-0.038,0.0,154.0,124.0,124.0,-0.562,-0.013,,,,,,161.0,2023-04-01,2023-01-01
2023-01-01,HCM,4,2022,887.0,-0.21,0.168,-640.0,247.0,-88.0,159.0,-0.429,-0.225,0.0,159.0,125.0,125.0,-0.44,-0.241,,,,,,166.0,2023-01-01,2022-10-01
2022-10-01,HCM,3,2022,759.0,-0.306,-0.361,-463.0,296.0,-91.0,205.0,-0.483,-0.41,0.0,206.0,165.0,165.0,-0.482,-0.409,,,,,,212.0,2022-10-01,2022-07-01
2022-07-01,HCM,2,2022,1188.0,0.098,0.112,-762.0,426.0,-78.0,348.0,-0.01,-0.01,0.0,349.0,279.0,279.0,-0.014,-0.012,,,,,,355.0,2022-07-01,2022-04-01
2022-04-01,HCM,1,2022,1068.0,-0.082,-0.048,-622.0,446.0,-94.0,352.0,-0.121,0.262,0.0,354.0,283.0,283.0,-0.121,0.264,,,,,,358.0,2022-04-01,2022-01-01
2022-01-01,HCM,4,2021,1122.0,0.323,0.027,-759.0,364.0,-85.0,279.0,0.628,-0.298,0.0,279.0,224.0,224.0,0.629,-0.298,,,,,,284.0,2022-01-01,2021-10-01
2021-10-01,HCM,3,2021,1093.0,1.127,0.011,-597.0,496.0,-99.0,397.0,1.27,0.129,0.0,398.0,318.0,318.0,1.242,0.125,,,,,,403.0,2021-10-01,2021-07-01
2021-07-01,HCM,2,2021,1082.0,1.465,-0.07,-670.0,412.0,-60.0,352.0,0.875,-0.121,0.0,352.0,283.0,283.0,0.886,-0.12,,,,,,358.0,2021-07-01,2021-04-01
2021-04-01,HCM,1,2021,1163.0,1.603,0.371,-710.0,453.0,-53.0,400.0,2.206,1.337,0.0,402.0,322.0,322.0,2.187,1.344,,,,,,407.0,2021-04-01,2021-01-01
2021-01-01,HCM,4,2020,848.0,1.076,0.65,-599.0,249.0,-78.0,171.0,0.126,-0.021,0.0,171.0,137.0,137.0,0.078,-0.033,,,,,,178.0,2021-01-01,2020-10-01
2020-10-01,HCM,3,2020,514.0,0.322,0.171,-295.0,219.0,-44.0,175.0,0.243,-0.067,0.0,175.0,142.0,142.0,0.261,-0.054,,,,,,182.0,2020-10-01,2020-07-01
2020-07-01,HCM,2,2020,439.0,-0.065,-0.018,-204.0,234.0,-47.0,188.0,0.385,0.503,0.0,188.0,150.0,150.0,0.357,0.487,,,,,,192.0,2020-07-01,2020-04-01
2020-04-01,HCM,1,2020,447.0,0.523,0.094,-275.0,172.0,-47.0,125.0,0.235,-0.179,0.0,126.0,101.0,101.0,0.232,-0.207,,,,,,134.0,2020-04-01,2020-01-01
2020-01-01,HCM,4,2019,409.0,0.016,0.051,-200.0,208.0,-56.0,152.0,0.716,0.08,0.0,152.0,127.0,127.0,0.765,0.13,,,,,,159.0,2020-01-01,2019-10-01
2019-10-01,HCM,3,2019,389.0,-0.071,-0.172,-201.0,187.0,-47.0,141.0,-0.146,0.039,0.0,141.0,113.0,113.0,-0.143,0.018,,,,,,147.0,2019-10-01,2019-07-01
2019-07-01,HCM,2,2019,469.0,-0.32,0.6,-293.0,176.0,-41.0,135.0,-0.263,0.34,0.0,136.0,111.0,111.0,-0.249,0.35,,,,,,141.0,2019-07-01,2019-04-01
2019-04-01,HCM,1,2019,293.0,-0.65,-0.271,-149.0,144.0,-43.0,101.0,-0.749,0.14,0.0,102.0,82.0,82.0,-0.748,0.137,,,,,,107.0,2019-04-01,2019-01-01
2019-01-01,HCM,4,2018,402.0,-0.4,-0.039,-260.0,142.0,-54.0,89.0,-0.622,-0.462,0.0,89.0,72.0,72.0,-0.613,-0.452,,,,,,94.0,2019-01-01,2018-10-01
2018-10-01,HCM,3,2018,419.0,0.23,-0.394,-209.0,209.0,-44.0,165.0,-0.022,-0.103,0.0,165.0,131.0,131.0,-0.034,-0.107,,,,,,170.0,2018-10-01,2018-07-01
2018-07-01,HCM,2,2018,691.0,1.231,-0.176,-464.0,227.0,-43.0,184.0,0.064,-0.544,0.0,184.0,147.0,147.0,0.076,-0.546,,,,,,189.0,2018-07-01,2018-04-01
2018-04-01,HCM,1,2018,838.0,2.851,0.251,-396.0,443.0,-40.0,403.0,2.522,0.718,0.0,404.0,325.0,325.0,2.421,0.744,,,,,,407.0,2018-04-01,2018-01-01
2018-01-01,HCM,4,2017,670.0,1.954,0.97,-390.0,280.0,-45.0,234.0,1.55,0.391,0.0,234.0,186.0,186.0,1.457,0.367,,,,,,239.0,2018-01-01,2017-10-01
2017-10-01,HCM,3,2017,340.0,0.556,0.099,-146.0,195.0,-26.0,168.0,0.825,-0.024,0.0,169.0,136.0,136.0,0.665,-0.004,,,,,,171.0,2017-10-01,2017-07-01
2017-07-01,HCM,2,2017,310.0,0.703,0.422,-111.0,199.0,-26.0,173.0,0.93,0.51,0.0,174.0,137.0,137.0,0.662,0.442,,,,,,174.0,2017-07-01,2017-04-01
2017-04-01,HCM,1,2017,218.0,0.309,-0.04,-78.0,140.0,-25.0,114.0,0.424,0.244,0.0,115.0,95.0,95.0,0.467,0.252,,,,,,116.0,2017-04-01,2017-01-01
2017-01-01,HCM,4,2016,227.0,0.326,0.038,-110.0,117.0,-25.0,92.0,0.042,-0.004,0.0,101.0,76.0,76.0,0.093,-0.074,,,,,,93.0,2017-01-01,2016-10-01
2016-10-01,HCM,3,2016,219.0,0.527,0.202,-104.0,115.0,-22.0,92.0,1.028,0.032,0.0,102.0,82.0,82.0,0.805,-0.006,,,,,,94.0,2016-10-01,2016-07-01
2016-07-01,HCM,2,2016,182.0,0.337,0.093,-71.0,111.0,-22.0,89.0,0.344,0.114,0.0,102.0,82.0,82.0,0.581,0.272,,,,,,91.0,2016-07-01,2016-04-01
2016-04-01,HCM,1,2016,166.0,0.276,-0.027,-63.0,104.0,-23.0,80.0,,-0.09,0.0,80.0,65.0,65.0,0.388,-0.067,,,,,,82.0,2016-04-01,2016-01-01
2016-01-01,HCM,4,2015,171.0,-0.104,0.194,-59.0,112.0,-24.0,88.0,,0.939,,88.0,69.0,69.0,0.239,0.53,,,,,,90.0,2016-01-01,2015-10-01
2015-10-01,HCM,3,2015,143.0,-0.339,0.053,-75.0,68.0,-23.0,46.0,,-0.316,,57.0,45.0,45.0,-0.569,-0.129,,,,,,47.0,2015-10-01,2015-07-01
2015-07-01,HCM,2,2015,136.0,-0.306,0.043,-45.0,91.0,-24.0,67.0,,,,67.0,52.0,52.0,-0.45,0.118,,,,,,68.0,2015-07-01,2015-04-01
2015-04-01,HCM,1,2015,130.0,-0.424,-0.317,-47.0,83.0,,,,,,60.0,47.0,47.0,-0.613,-0.167,,,,,,,2015-04-01,2015-01-01
2015-01-01,HCM,4,2014,191.0,-0.041,-0.119,-97.0,94.0,,,,,,72.0,56.0,56.0,-0.451,-0.468,,,,,,,2015-01-01,2014-10-01
2014-10-01,HCM,3,2014,217.0,0.528,0.106,-59.0,158.0,,,,,,135.0,105.0,105.0,0.861,0.111,,,,,,,2014-10-01,2014-07-01
2014-07-01,HCM,2,2014,196.0,0.365,-0.134,-55.0,141.0,,,,,,121.0,95.0,95.0,0.553,-0.213,,,,,,,2014-07-01,2014-04-01
2014-04-01,HCM,1,2014,226.0,0.508,0.137,-50.0,176.0,,,,,,154.0,120.0,120.0,0.914,0.181,,,,,,,2014-04-01,2014-01-01
2014-01-01,HCM,4,2013,199.0,0.723,0.404,-44.0,155.0,,,,,,136.0,102.0,102.0,1.659,0.802,,,,,,,2014-01-01,2013-10-01
2013-10-01,HCM,3,2013,142.0,0.241,-0.013,-47.0,95.0,,,,,,75.0,57.0,57.0,0.285,-0.073,,,,,,,2013-10-01,2013-07-01
2013-07-01,HCM,2,2013,144.0,-0.174,-0.043,-41.0,103.0,,,,,,81.0,61.0,61.0,-0.261,-0.03,,,,,,,2013-07-01,2013-04-01
2013-04-01,HCM,1,2013,150.0,-0.053,0.3,-45.0,105.0,,,,,,84.0,63.0,63.0,-0.23,0.641,,,,,,,2013-04-01,2013-01-01
2013-01-01,HCM,4,2012,116.0,-0.064,0.012,-41.0,74.0,,,,,,48.0,38.0,38.0,-0.217,-0.129,,,,,,,2013-01-01,2012-10-01
2012-10-01,HCM,3,2012,114.0,-0.196,-0.343,-38.0,76.0,,,,,,55.0,44.0,44.0,-0.228,-0.466,,,,,,,2012-10-01,2012-07-01
2012-07-01,HCM,2,2012,174.0,0.652,0.097,-46.0,128.0,-25.0,103.0,,,0.0,103.0,82.0,82.0,0.76,0.009,,,,,,124.0,2012-07-01,2012-04-01
2012-04-01,HCM,1,2012,159.0,0.644,0.284,-40.0,119.0,,,,,,102.0,82.0,82.0,0.958,0.67,,,,,,,2012-04-01,2012-01-01
2012-01-01,HCM,4,2011,123.0,0.097,-0.131,-48.0,76.0,,,,,,59.0,49.0,49.0,0.758,-0.142,,,,,,,2012-01-01,2011-10-01
2011-10-01,HCM,3,2011,142.0,0.282,0.349,-42.0,100.0,,,,,,68.0,57.0,57.0,0.798,0.217,,,,,,,2011-10-01,2011-07-01
