index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,SHB,4,2024,8284.0,0.547,1.54,,,-2276.0,9404.0,0.619,1.442,,2495.0,1982.0,1982.0,2.422,0.139,-63,755,428,-4633,7128,,2025-01-01,2024-10-01
2024-10-01,SHB,3,2024,3262.0,-0.262,-0.261,,,-1161.0,3852.0,-0.161,-0.121,,2173.0,1740.0,1740.0,-0.155,-0.239,56,145,389,-517,2691,,2024-10-01,2024-07-01
2024-07-01,SHB,2,2024,4412.0,0.074,-0.147,,,-1197.0,4383.0,-0.139,-0.249,,2858.0,2285.0,2285.0,0.171,-0.288,-81,223,-171,-328,3186,,2024-07-01,2024-04-01
2024-04-01,SHB,1,2024,5170.0,-0.115,-0.035,,,-1115.0,5840.0,-0.059,0.005,,4017.0,3209.0,3209.0,0.114,4.542,65,149,456,-708,4725,,2024-04-01,2024-01-01
2024-01-01,SHB,4,2023,5356.0,0.248,0.211,,,-1193.0,5808.0,0.234,0.265,,735.0,579.0,579.0,0.21,-0.719,35,134,283,-3881,4616,,2024-01-01,2023-10-01
2023-10-01,SHB,3,2023,4422.0,-0.083,0.076,,,-1546.0,4591.0,-0.137,-0.098,,2425.0,2059.0,2059.0,-0.205,0.055,119,38,12,-620,3045,,2023-10-01,2023-07-01
2023-07-01,SHB,2,2023,4108.0,-0.02,-0.297,,,-1087.0,5088.0,0.093,-0.18,,2464.0,1951.0,1951.0,-0.05,-0.323,776,129,76,-1537,4001,,2023-07-01,2023-04-01
2023-04-01,SHB,1,2023,5844.0,0.384,0.362,,,-1210.0,6204.0,0.322,0.319,,3620.0,2881.0,2881.0,0.116,5.021,67,222,70,-1374,4994,,2023-04-01,2023-01-01
2023-01-01,SHB,4,2022,4292.0,-0.101,-0.11,,,-1263.0,4705.0,-0.213,-0.115,,624.0,479.0,479.0,-0.49,-0.815,57,247,110,-2819,3442,,2023-01-01,2022-10-01
2022-10-01,SHB,3,2022,4821.0,0.216,0.15,,,-1179.0,5317.0,0.141,0.142,,3258.0,2591.0,2591.0,0.733,0.261,111,255,131,-879,4138,,2022-10-01,2022-07-01
2022-07-01,SHB,2,2022,4193.0,-0.101,-0.007,,,-946.0,4655.0,-0.067,-0.008,,2550.0,2055.0,2055.0,0.687,-0.204,-7,223,246,-1159,3710,,2022-07-01,2022-04-01
2022-04-01,SHB,1,2022,4223.0,0.897,-0.115,,,-995.0,4694.0,0.837,-0.215,,3227.0,2582.0,2582.0,0.941,1.75,104,157,209,-472,3699,,2022-04-01,2022-01-01
2022-01-01,SHB,4,2021,4774.0,0.441,0.204,,,-1350.0,5980.0,0.292,0.283,,1169.0,939.0,939.0,0.461,-0.372,226,177,803,-3461,4631,,2022-01-01,2021-10-01
2021-10-01,SHB,3,2021,3966.0,0.567,-0.15,,,-912.0,4660.0,0.474,-0.066,,1869.0,1495.0,1495.0,0.974,0.227,511,147,37,-1880,3748,,2021-10-01,2021-07-01
2021-07-01,SHB,2,2021,4666.0,0.914,1.096,,,-1252.0,4988.0,0.923,0.952,,1522.0,1218.0,1218.0,0.708,-0.084,263,135,-77,-2214,3736,,2021-07-01,2021-04-01
2021-04-01,SHB,1,2021,2226.0,0.322,-0.328,,,-891.0,2555.0,0.381,-0.448,,1664.0,1330.0,1330.0,1.165,1.07,107,127,95,0,1664,,2021-04-01,2021-01-01
2021-01-01,SHB,4,2020,3313.0,0.335,0.309,,,-1212.0,4630.0,0.369,0.464,,805.0,642.0,642.0,-0.013,-0.152,958,188,171,-2612,3418,,2021-01-01,2020-10-01
2020-10-01,SHB,3,2020,2530.0,0.122,0.038,,,-1158.0,3161.0,0.297,0.219,,947.0,757.0,757.0,0.353,0.062,439,120,72,-1057,2004,,2020-10-01,2020-07-01
2020-07-01,SHB,2,2020,2438.0,0.419,0.448,,,-848.0,2593.0,0.325,0.402,,880.0,713.0,713.0,-0.002,0.161,56,94,5,-865,1746,,2020-07-01,2020-04-01
2020-04-01,SHB,1,2020,1684.0,0.245,-0.321,,,-1071.0,1850.0,0.199,-0.453,,779.0,614.0,614.0,0.034,-0.056,49,112,6,0,779,,2020-04-01,2020-01-01
2020-01-01,SHB,4,2019,2482.0,0.132,0.101,,,-1286.0,3383.0,0.21,0.387,,815.0,651.0,651.0,0.317,0.163,414,343,144,-1282,2097,,2020-01-01,2019-10-01
2019-10-01,SHB,3,2019,2255.0,0.92,0.313,,,-1023.0,2438.0,0.911,0.245,,701.0,560.0,560.0,1.008,-0.217,140,33,10,-714,1415,,2019-10-01,2019-07-01
2019-07-01,SHB,2,2019,1718.0,0.579,0.27,,,-845.0,1958.0,0.422,0.269,,894.0,715.0,715.0,0.733,0.202,29,193,18,-219,1113,,2019-07-01,2019-04-01
2019-04-01,SHB,1,2019,1353.0,0.261,-0.383,,,-799.0,1543.0,0.292,-0.448,,744.0,594.0,594.0,0.477,0.203,46,125,19,0,744,,2019-04-01,2019-01-01
2019-01-01,SHB,4,2018,2193.0,0.024,0.867,,,-1171.0,2796.0,0.098,1.192,,621.0,494.0,494.0,0.034,0.773,16,475,111,-1004,1625,,2019-01-01,2018-10-01
2018-10-01,SHB,3,2018,1174.0,0.638,0.08,,,-697.0,1276.0,-0.283,-0.074,,348.0,279.0,279.0,-0.346,-0.324,36,61,4,-231,579,,2018-10-01,2018-07-01
2018-07-01,SHB,2,2018,1088.0,0.262,0.014,,,-676.0,1377.0,0.332,0.153,,518.0,412.0,412.0,0.057,0.025,222,47,20,-183,701,,2018-07-01,2018-04-01
2018-04-01,SHB,1,2018,1073.0,0.161,-0.499,,,-626.0,1195.0,0.135,-0.531,,503.0,402.0,402.0,0.642,-0.158,56,58,7,-66,569,,2018-04-01,2018-01-01
2018-01-01,SHB,4,2017,2142.0,0.164,1.987,,,-817.0,2547.0,0.211,0.431,,608.0,478.0,478.0,0.534,0.122,72,330,3,-1123,1731,,2018-01-01,2017-10-01
2017-10-01,SHB,3,2017,717.0,0.0,-0.168,,,-630.0,1780.0,0.572,0.722,,529.0,426.0,426.0,1.093,0.091,55,844,163,-620,1149,,2017-10-01,2017-07-01
2017-07-01,SHB,2,2017,862.0,0.077,-0.068,,,-553.0,1034.0,0.164,-0.018,,495.0,390.0,390.0,1.33,0.593,-83,103,151,14,481,,2017-07-01,2017-04-01
2017-04-01,SHB,1,2017,925.0,0.041,-0.498,,,-554.0,1052.0,0.074,-0.5,,307.0,245.0,245.0,0.003,-0.214,28,78,22,-192,499,,2017-04-01,2017-01-01
2017-01-01,SHB,4,2016,1840.0,0.571,1.566,,,-886.0,2103.0,0.524,0.858,,376.0,312.0,312.0,0.301,0.532,39,192,31,-841,1217,,2017-01-01,2016-10-01
2016-10-01,SHB,3,2016,717.0,-0.116,-0.103,,,-624.0,1132.0,0.137,0.274,,264.0,203.0,203.0,0.055,0.215,31,58,326,-245,508,,2016-10-01,2016-07-01
2016-07-01,SHB,2,2016,800.0,0.209,-0.1,,,-541.0,888.0,0.164,-0.093,,204.0,167.0,168.0,-0.185,-0.314,-2,89,2,-143,347,,2016-07-01,2016-04-01
2016-04-01,SHB,1,2016,888.0,0.441,-0.241,,,-507.0,980.0,0.449,-0.289,,305.0,244.0,244.0,0.475,0.02,24,27,40,-168,473,,2016-04-01,2016-01-01
2016-01-01,SHB,4,2015,1171.0,0.204,0.443,,,-624.0,1379.0,0.271,0.386,,299.0,240.0,240.0,0.06,0.242,35,152,21,-457,756,,2016-01-01,2015-10-01
2015-10-01,SHB,3,2015,811.0,0.104,0.227,,,-609.0,995.0,0.248,0.304,,247.0,193.0,193.0,0.013,-0.062,26,38,119,-139,386,,2015-10-01,2015-07-01
2015-07-01,SHB,2,2015,662.0,-0.089,0.073,,,-348.0,763.0,-0.202,0.128,,271.0,206.0,206.0,0.107,0.241,31,38,33,-144,415,,2015-07-01,2015-04-01
2015-04-01,SHB,1,2015,617.0,0.764,-0.366,,,-460.0,677.0,0.529,-0.377,,209.0,166.0,166.0,-0.235,-0.267,37,23,0,-8,217,,2015-04-01,2015-01-01
2015-01-01,SHB,4,2014,973.0,0.45,0.324,,,-522.0,1085.0,0.733,0.361,,282.0,226.0,226.0,0.041,0.187,15,97,1,-282,563,,2015-01-01,2014-10-01
2014-10-01,SHB,3,2014,735.0,0.336,0.012,,,-431.0,797.0,0.233,-0.167,,236.0,190.0,190.0,-0.194,0.026,-1,29,34,-131,366,,2014-10-01,2014-07-01
2014-07-01,SHB,2,2014,726.0,0.308,1.078,,,-295.0,957.0,0.503,1.162,,228.0,186.0,186.0,0.339,-0.143,26,177,27,-434,662,,2014-07-01,2014-04-01
2014-04-01,SHB,1,2014,350.0,-0.183,-0.479,,,-382.0,443.0,-0.168,-0.293,,277.0,217.0,217.0,0.328,-0.002,58,27,8,216,61,,2014-04-01,2014-01-01
2014-01-01,SHB,4,2013,671.0,1.083,0.219,,,-407.0,626.0,-0.437,-0.031,,287.0,217.0,217.0,-0.785,-0.081,-67,12,11,69,219,,2014-01-01,2013-10-01
2013-10-01,SHB,3,2013,550.0,0.429,-0.009,,,-379.0,646.0,0.51,0.016,,314.0,236.0,236.0,,0.703,47,40,9,47,267,,2013-10-01,2013-07-01
2013-07-01,SHB,2,2013,555.0,0.336,0.299,,,-351.0,636.0,0.168,0.196,,183.0,139.0,139.0,-0.376,-0.15,27,54,-1,-103,285,,2013-07-01,2013-04-01
2013-04-01,SHB,1,2013,428.0,-0.248,0.328,,,-456.0,532.0,-0.195,-0.522,,218.0,163.0,163.0,-0.274,-0.839,55,34,15,141,76,,2013-04-01,2013-01-01
2013-01-01,SHB,4,2012,322.0,-0.378,-0.163,,,-653.0,1113.0,0.607,1.601,,1010.0,1010.0,1010.0,3.567,,128,33,630,551,460,,2013-01-01,2012-10-01
2012-10-01,SHB,3,2012,385.0,-0.336,-0.074,,,-1043.0,428.0,-0.315,-0.215,,-1707.0,-1707.0,-1707.0,,,1,25,17,-1092,-615,,2012-10-01,2012-07-01
2012-07-01,SHB,2,2012,416.0,0.021,-0.269,,,-294.0,545.0,0.155,-0.176,,300.0,222.0,222.0,0.409,-0.011,17,24,89,49,251,,2012-07-01,2012-04-01
2012-04-01,SHB,1,2012,568.0,0.444,0.098,,,-292.0,661.0,0.505,-0.046,,301.0,225.0,225.0,0.479,0.016,21,72,0,-69,369,,2012-04-01,2012-01-01
2012-01-01,SHB,4,2011,518.0,0.248,-0.107,,,-339.0,693.0,0.443,0.109,,294.0,221.0,221.0,0.648,-0.006,-23,128,70,-59,354,,2012-01-01,2011-10-01
2011-10-01,SHB,3,2011,580.0,1.387,0.424,,,-304.0,625.0,0.885,0.325,,296.0,223.0,223.0,0.864,0.411,16,28,1,-25,321,,2011-10-01,2011-07-01
2011-07-01,SHB,2,2011,407.0,0.66,0.034,,,-255.0,472.0,0.162,0.074,,208.0,158.0,158.0,-0.173,0.038,40,24,1,-8,216,,2011-07-01,2011-04-01
2011-04-01,SHB,1,2011,394.0,0.854,-0.051,,,-227.0,439.0,0.523,-0.085,,202.0,152.0,152.0,0.257,0.132,4,38,4,-10,212,,2011-04-01,2011-01-01
2011-01-01,SHB,4,2010,415.0,4.26,0.709,,,-244.0,480.0,5.087,0.448,,179.0,134.0,134.0,1.156,0.124,37,25,3,-58,236,,2011-01-01,2010-10-01
