index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2016-10-01,ACB,3,2016,1657.0,0.126,-0.029,,,-1243.0,1851.0,-0.077,0.059,,416.0,334.0,334.0,0.175,-0.054,-75,236,33,-192,608,,2016-10-01,2016-07-01
2016-07-01,ACB,2,2016,1707.0,0.248,0.079,,,-1171.0,1747.0,0.102,0.029,,439.0,353.0,353.0,0.217,0.137,-218,223,35,-137,576,,2016-07-01,2016-04-01
2016-04-01,ACB,1,2016,1582.0,0.138,-0.044,,,-1075.0,1698.0,0.055,0.663,,389.0,310.0,310.0,0.105,0.766,-145,201,60,-233,623,,2016-04-01,2016-01-01
2016-01-01,ACB,4,2015,1655.0,0.23,0.124,,,-732.0,1021.0,-0.365,-0.491,,224.0,176.0,176.0,0.537,-0.381,-958,209,115,-65,289,,2016-01-01,2015-10-01
2015-10-01,ACB,3,2015,1472.0,0.475,0.076,,,-1317.0,2005.0,0.5,0.265,,360.0,284.0,284.0,0.075,-0.02,288,199,46,-328,688,,2015-10-01,2015-07-01
2015-07-01,ACB,2,2015,1367.0,0.0,-0.016,,,-970.0,1585.0,-0.053,-0.015,,372.0,290.0,290.0,-0.103,0.033,-14,169,63,-244,615,,2015-07-01,2015-04-01
2015-04-01,ACB,1,2015,1390.0,0.317,0.033,,,-1003.0,1610.0,0.118,0.002,,359.0,281.0,281.0,0.123,1.455,33,168,19,-247,607,,2015-04-01,2015-01-01
2015-01-01,ACB,4,2014,1345.0,0.516,0.348,,,-1150.0,1607.0,0.565,0.203,,144.0,114.0,114.0,,-0.567,67,191,4,-313,457,,2015-01-01,2014-10-01
2014-10-01,ACB,3,2014,998.0,-0.161,-0.271,,,-910.0,1336.0,-0.149,-0.201,,340.0,264.0,264.0,-0.341,-0.183,161,184,-6,-86,426,,2014-10-01,2014-07-01
2014-07-01,ACB,2,2014,1368.0,0.268,0.297,,,-852.0,1673.0,0.039,0.162,,412.0,323.0,323.0,-0.211,0.293,148,119,38,-408,821,,2014-07-01,2014-04-01
