index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,FPT,4,2024,17608.0,0.199,0.107,-11129.0,6479.0,-3420.0,3059.0,0.31,0.098,-135.0,2960.0,2494.0,2087.0,0.207,-0.001,,,,,,3727.0,2025-01-01,2024-10-01
2024-10-01,FPT,3,2024,15903.0,0.156,0.043,-9744.0,6159.0,-3372.0,2787.0,0.218,0.186,-129.0,2909.0,2479.0,2089.0,0.201,0.114,,,,,,3431.0,2024-10-01,2024-07-01
2024-07-01,FPT,2,2024,15245.0,0.221,0.082,-9594.0,5651.0,-3301.0,2350.0,0.224,0.014,-150.0,2669.0,2288.0,1875.0,0.242,0.043,,,,,,2981.0,2024-07-01,2024-04-01
2024-04-01,FPT,1,2024,14093.0,0.206,-0.041,-8582.0,5510.0,-3192.0,2318.0,0.237,-0.008,-138.0,2534.0,2160.0,1798.0,0.204,0.04,,,,,,2935.0,2024-04-01,2024-01-01
2024-01-01,FPT,4,2023,14690.0,0.126,0.067,-9059.0,5632.0,-3296.0,2336.0,0.169,0.021,-207.0,2435.0,2051.0,1728.0,0.279,-0.006,,,,,,3012.0,2024-01-01,2023-10-01
2023-10-01,FPT,3,2023,13762.0,0.234,0.102,-8265.0,5496.0,-3208.0,2289.0,0.295,0.192,-266.0,2429.0,2076.0,1739.0,0.196,0.152,,,,,,2846.0,2023-10-01,2023-07-01
2023-07-01,FPT,2,2023,12484.0,0.237,0.069,-7851.0,4634.0,-2714.0,1920.0,0.215,0.025,-212.0,2218.0,1856.0,1509.0,0.207,0.01,,,,,,2462.0,2023-07-01,2023-04-01
2023-04-01,FPT,1,2023,11681.0,0.201,-0.104,-7113.0,4568.0,-2694.0,1874.0,0.323,-0.062,-148.0,2121.0,1810.0,1494.0,0.206,0.105,,,,,,2384.0,2023-04-01,2023-01-01
2023-01-01,FPT,4,2022,13042.0,0.218,0.17,-7801.0,5241.0,-3243.0,1998.0,0.367,0.131,-157.0,1989.0,1620.0,1352.0,0.038,-0.07,,,,,,2498.0,2023-01-01,2022-10-01
2022-10-01,FPT,3,2022,11149.0,0.278,0.104,-6789.0,4359.0,-2593.0,1767.0,0.284,0.118,-167.0,2028.0,1756.0,1454.0,0.292,0.162,,,,,,2222.0,2022-10-01,2022-07-01
2022-07-01,FPT,2,2022,10096.0,0.168,0.038,-6253.0,3843.0,-2262.0,1581.0,0.057,0.117,-177.0,1858.0,1562.0,1251.0,0.251,0.01,,,,,,2029.0,2022-07-01,2022-04-01
2022-04-01,FPT,1,2022,9730.0,0.283,-0.091,-5777.0,3953.0,-2538.0,1416.0,0.31,-0.031,-146.0,1779.0,1539.0,1239.0,0.367,-0.048,,,,,,1846.0,2022-04-01,2022-01-01
2022-01-01,FPT,4,2021,10704.0,0.235,0.227,-6610.0,4094.0,-2633.0,1462.0,0.163,0.062,-138.0,1760.0,1560.0,1302.0,0.324,0.157,,,,,,1920.0,2022-01-01,2021-10-01
