index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2018-10-01,GAS,3,2018,18426.0,0.222,-0.08,-13631.0,4795.0,-954.0,3841.0,0.755,0.018,-107.0,4063.0,3266.0,3201.0,0.683,0.042,,,,,,4394.0,2018-10-01,2018-07-01
2018-07-01,GAS,2,2018,20025.0,0.24,0.103,-15242.0,4783.0,-1011.0,3772.0,0.632,0.186,-110.0,3908.0,3151.0,3071.0,0.677,0.177,,,,,,4616.0,2018-07-01,2018-04-01
2018-04-01,GAS,1,2018,18162.0,0.117,0.063,-14169.0,3993.0,-812.0,3181.0,0.232,-0.281,-125.0,3309.0,2665.0,2608.0,0.199,-0.289,,,,,,3768.0,2018-04-01,2018-01-01
2018-01-01,GAS,4,2017,17081.0,0.091,0.132,-11669.0,5412.0,-987.0,4424.0,0.127,1.022,-63.0,4847.0,3770.0,3669.0,0.196,0.929,,,,,,5040.0,2018-01-01,2017-10-01
2017-10-01,GAS,3,2017,15085.0,0.094,-0.066,-12026.0,3058.0,-870.0,2188.0,1.12,-0.053,-63.0,2454.0,1963.0,1902.0,0.973,0.039,,,,,,2780.0,2017-10-01,2017-07-01
2017-07-01,GAS,2,2017,16147.0,0.028,-0.007,-12980.0,3168.0,-856.0,2311.0,0.279,-0.105,-90.0,2380.0,1894.0,1831.0,0.099,-0.159,,,,,,2972.0,2017-07-01,2017-04-01
2017-04-01,GAS,1,2017,16257.0,0.163,0.038,-12860.0,3398.0,-816.0,2581.0,0.507,-0.343,-64.0,2785.0,2216.0,2176.0,0.655,-0.29,,,,,,3377.0,2017-04-01,2017-01-01
2017-01-01,GAS,4,2016,15663.0,-0.093,0.136,-10859.0,4804.0,-878.0,3926.0,2.253,2.803,-97.0,3984.0,3076.0,3067.0,1.936,2.181,,,,,,4469.0,2017-01-01,2016-10-01
2016-10-01,GAS,3,2016,13787.0,-0.123,-0.122,-11981.0,1806.0,-774.0,1032.0,-0.636,-0.429,-83.0,1272.0,986.0,964.0,-0.584,-0.421,,,,,,1816.0,2016-10-01,2016-07-01
2016-07-01,GAS,2,2016,15711.0,-0.004,0.124,-13177.0,2535.0,-727.0,1807.0,-0.435,0.055,-108.0,1964.0,1632.0,1666.0,-0.356,0.267,,,,,,2820.0,2016-07-01,2016-04-01
2016-04-01,GAS,1,2016,13984.0,-0.1,-0.19,-11577.0,2407.0,-695.0,1713.0,-0.5,0.419,-71.0,1951.0,1479.0,1315.0,-0.491,0.259,,,,,,2444.0,2016-04-01,2016-01-01
2016-01-01,GAS,4,2015,17264.0,-0.092,0.098,-15295.0,1970.0,-763.0,1207.0,-0.796,-0.574,-55.0,1450.0,1101.0,1044.0,-0.782,-0.549,,,,,,2050.0,2016-01-01,2015-10-01
2015-10-01,GAS,3,2015,15724.0,-0.198,-0.003,-12201.0,3523.0,-691.0,2832.0,-0.225,-0.115,-35.0,3002.0,2390.0,2317.0,-0.215,-0.105,,,,,,3409.0,2015-10-01,2015-07-01
2015-07-01,GAS,2,2015,15769.0,-0.157,0.015,-11916.0,3853.0,-653.0,3200.0,-0.189,-0.065,-39.0,3373.0,2680.0,2588.0,-0.199,0.002,,,,,,4004.0,2015-07-01,2015-04-01
2015-04-01,GAS,1,2015,15532.0,-0.033,-0.183,-11483.0,4049.0,-627.0,3422.0,-0.103,-0.422,-67.0,3371.0,2660.0,2583.0,-0.182,-0.46,,,,,,4349.0,2015-04-01,2015-01-01
2015-01-01,GAS,4,2014,19014.0,0.147,-0.03,-12385.0,6629.0,-706.0,5923.0,1.182,0.621,-60.0,6075.0,4798.0,4784.0,1.18,0.621,,,,,,6806.0,2015-01-01,2014-10-01
2014-10-01,GAS,3,2014,19606.0,0.149,0.048,-15361.0,4245.0,-590.0,3655.0,0.026,-0.074,-102.0,3820.0,3044.0,2951.0,-0.013,-0.087,,,,,,4543.0,2014-10-01,2014-07-01
2014-07-01,GAS,2,2014,18703.0,0.187,0.164,-13995.0,4708.0,-762.0,3946.0,0.101,0.035,-97.0,4094.0,3329.0,3230.0,0.111,0.023,,,,,,4779.0,2014-07-01,2014-04-01
2014-04-01,GAS,1,2014,16064.0,0.001,-0.031,-11508.0,4556.0,-742.0,3814.0,-0.076,0.405,-108.0,3997.0,3195.0,3156.0,-0.265,0.438,,,,,,4672.0,2014-04-01,2014-01-01
2014-01-01,GAS,4,2013,16576.0,0.095,-0.029,-12752.0,3824.0,-1110.0,2714.0,-0.083,-0.238,-106.0,2858.0,2245.0,2195.0,-0.122,-0.266,,,,,,3528.0,2014-01-01,2013-10-01
2013-10-01,GAS,3,2013,17067.0,0.043,0.084,-12740.0,4327.0,-765.0,3562.0,0.163,-0.006,-105.0,3742.0,3073.0,2989.0,0.204,0.028,,,,,,4361.0,2013-10-01,2013-07-01
2013-07-01,GAS,2,2013,15750.0,-0.136,-0.019,-11398.0,4352.0,-768.0,3585.0,0.269,-0.131,-120.0,3700.0,3004.0,2909.0,0.231,-0.322,,,,,,4446.0,2013-07-01,2013-04-01
2013-04-01,GAS,1,2013,16052.0,-0.13,0.06,-11199.0,4853.0,-726.0,4127.0,0.445,0.395,-90.0,5383.0,4375.0,4292.0,0.861,0.717,,,,,,4888.0,2013-04-01,2013-01-01
2013-01-01,GAS,4,2012,15142.0,-0.007,-0.075,-11165.0,3977.0,-1018.0,2959.0,0.766,-0.034,-97.0,3090.0,2592.0,2499.0,0.809,0.006,,,,,,3726.0,2013-01-01,2012-10-01
2012-10-01,GAS,3,2012,16362.0,-0.032,-0.102,-12588.0,3775.0,-712.0,3063.0,0.177,0.084,-125.0,3178.0,2579.0,2483.0,0.149,0.051,,,,,,3820.0,2012-10-01,2012-07-01
2012-07-01,GAS,2,2012,18225.0,,-0.012,-14583.0,3642.0,-817.0,2825.0,,-0.011,-65.0,3129.0,2534.0,2363.0,,0.024,,,,,,,2012-07-01,2012-04-01
2012-04-01,GAS,1,2012,18447.0,,0.21,-14884.0,3563.0,-707.0,2856.0,,0.704,-149.0,2946.0,2394.0,2307.0,,0.67,,,,,,,2012-04-01,2012-01-01
2012-01-01,GAS,4,2011,15250.0,,-0.098,-12700.0,2550.0,-874.0,1676.0,,-0.356,-405.0,1651.0,1371.0,1382.0,,-0.361,,,,,,,2012-01-01,2011-10-01
2011-10-01,GAS,3,2011,16902.0,,,-13555.0,3347.0,-746.0,2601.0,,,-69.0,2785.0,2311.0,2162.0,,,,,,,,,2011-10-01,2011-07-01
