index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,HPG,4,2024,34491.0,0.003,0.016,-30126.0,4365.0,-748.0,3617.0,-0.025,-0.02,-562.0,3287.0,2810.0,2807.0,-0.056,-0.072,,,,,,5368.0,2025-01-01,2024-10-01
2024-10-01,HPG,3,2024,33956.0,0.192,-0.142,-29225.0,4731.0,-1042.0,3689.0,0.358,-0.103,-525.0,3412.0,3022.0,3023.0,0.508,-0.089,,,,,,5461.0,2024-10-01,2024-07-01
2024-07-01,HPG,2,2024,39556.0,0.341,0.282,-34308.0,5247.0,-1136.0,4112.0,0.77,0.286,-564.0,3733.0,3320.0,3319.0,1.273,0.156,,,,,,5841.0,2024-07-01,2024-04-01
2024-04-01,HPG,1,2024,30852.0,0.16,-0.103,-26698.0,4154.0,-958.0,3196.0,2.478,-0.139,-636.0,3261.0,2869.0,2871.0,6.222,-0.034,,,,,,4918.0,2024-04-01,2024-01-01
2024-01-01,HPG,4,2023,34384.0,0.331,0.207,-29912.0,4472.0,-761.0,3711.0,,0.366,-711.0,3385.0,2969.0,2973.0,,0.483,,,,,,5452.0,2024-01-01,2023-10-01
2023-10-01,HPG,3,2023,28484.0,-0.165,-0.034,-24889.0,3595.0,-879.0,2716.0,37.08,0.169,-856.0,2174.0,2000.0,2005.0,,0.373,,,,,,4438.0,2023-10-01,2023-07-01
2023-07-01,HPG,2,2023,29496.0,-0.212,0.109,-26301.0,3195.0,-871.0,2324.0,-0.591,1.528,-1029.0,1702.0,1448.0,1460.0,-0.638,2.673,,,,,,3986.0,2023-07-01,2023-04-01
2023-04-01,HPG,1,2023,26589.0,-0.397,0.03,-24912.0,1676.0,-757.0,919.0,-0.901,,-990.0,532.0,383.0,397.0,-0.952,,,,,,,2567.0,2023-04-01,2023-01-01
2023-01-01,HPG,4,2022,25826.0,-0.422,-0.243,-26711.0,-885.0,-1059.0,-1944.0,,,-933.0,-2079.0,-1999.0,-1992.0,,,,,,,,-222.0,2023-01-01,2022-10-01
2022-10-01,HPG,3,2022,34103.0,-0.118,-0.089,-33103.0,1001.0,-929.0,71.0,-0.994,-0.987,-837.0,-1300.0,-1786.0,-1774.0,,,,,,,,1808.0,2022-10-01,2022-07-01
2022-07-01,HPG,2,2022,37422.0,0.066,-0.151,-30882.0,6540.0,-856.0,5683.0,-0.468,-0.387,-717.0,4379.0,4023.0,4032.0,-0.585,-0.509,,,,,,7360.0,2022-07-01,2022-04-01
2022-04-01,HPG,1,2022,44058.0,0.413,-0.015,-33950.0,10108.0,-841.0,9268.0,0.225,0.108,-597.0,8922.0,8206.0,8217.0,0.178,0.106,,,,,,10945.0,2022-04-01,2022-01-01
