ticker,CK cơ sở,Tổ chức phát hành CKCS,Tổ chức phát hành CW,Loại chứng quyền,Kiểu thực hiện,Phương thức thực hiện quyền,Thời hạn,Ngày phát hành,Ngày niêm yết,Ngày giao dịch đầu tiên,Ngày giao dịch cuối cùng,Ngày đáo hạn,Tỷ lệ chuyển đổi,TLCĐ điều chỉnh,Giá phát hành,Giá thực hiện,Giá TH điều chỉnh,Khối lượng Niêm yết,Khối lượng lưu hành
CFPT2001,CTCP FPT (HOSE: FPT),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,20/12/2019,20/01/2020,22/01/2020,18/06/2020,22/06/2020,5 : 1,4.2693 : 1,1600,56000,47816,5000000,5000000,Bản cáo bạch phát hành
CFPT2002,CTCP FPT (HOSE: FPT),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,22/01/2020,12/02/2020,14/02/2020,20/07/2020,22/07/2020,2 : 1,1.7077 : 1,2900,58000,49524,1000000,1000000,Bản cáo bạch phát hành
