ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CMWG2001,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-12-20,2020-01-20,2020-01-22,2020-06-18,2020-06-22,10 : 1,,1700,115000,,5000000,5000000,-99.46
CMWG2002,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-10-01,2020-03-02,2020-05-02,2020-08-07,2020-10-07,10 : 1,,1950,110000,,2000000,2000000,-99.47
CMWG2003,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2020-10-01,2020-03-02,2020-05-02,2020-04-22,2020-04-24,10 : 1,,1530,114500,,4000000,4000000,-99.32
CMWG2004,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2020-02-14,2020-11-03,2020-03-13,2020-11-06,2020-06-15,1 : 1,,13600,105000,,1000000,1000000,-99.9
CMWG2006,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-04-24,2020-05-14,2020-05-18,2020-10-22,2020-10-26,4.9308 : 1,4.9308 : 1,2000,108478,108478,1500000,1500000,-97.06
CMWG2007,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-05-29,2020-11-06,2020-06-15,2020-11-26,2020-11-30,0.9862 : 1,0.9862 : 1,12900,85796,85796,2000000,2000000,104.46
CMWG2008,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-04-29,2020-12-06,2020-06-16,2020-10-27,2020-10-29,9.8616 : 1,9.8616 : 1,1300,83824,83824,5000000,5000000,89.85
CMWG2009,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2020-06-24,2020-10-07,2020-07-14,2020-10-21,2020-10-23,7.8893 : 1,7.8893 : 1,1600,80865,80865,4000000,4000000,101.1
CMWG2010,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-07-14,2020-06-08,2020-10-08,2021-12-01,2021-01-14,9.8616 : 1,9.8616 : 1,1400,80865,80865,5000000,5000000,223.31
CMWG2011,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3.5 tháng,2020-03-09,2020-09-21,2020-09-23,2020-12-16,2020-12-18,4.9308 : 1,4.9308 : 1,2980,85796,85796,4000000,4000000,86.07
CMWG2012,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2020-07-09,2020-09-22,2020-09-24,2021-04-02,2021-08-02,4.9308 : 1,4.9308 : 1,4390,78893,78893,10000000,10000000,102.84
CMWG2102,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-01-02,2021-02-23,2021-02-25,2021-07-29,2021-02-08,5 : 1,,3000,120000,,1500000,1500000,134.57
CMWG2103,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2021-05-02,2021-03-03,2021-05-03,2021-01-07,2021-05-07,10 : 1,,1900,128500,,2000000,2000000,6.06
CMWG2104,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2021-03-22,2021-04-13,2021-04-15,2022-03-18,2022-03-22,6.6444 : 1,6.6444 : 1,2400,89699,89699,5000000,5000000,71.56
CMWG2105,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,4.5 tháng,2021-04-13,2021-03-05,2021-05-05,2021-08-25,2021-08-27,8 : 1,,2950,131500,,2500000,2500000,21.68
CMWG2106,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-07-07,2021-03-08,2021-05-08,2022-05-01,2022-07-01,6.6444 : 1,6.6444 : 1,3000,119599,119599,5000000,5000000,-44.41
CMWG2107,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2021-06-08,2021-08-25,2021-08-27,2022-04-01,2022-06-01,3.3222 : 1,3.3222 : 1,6600,109632,109632,7000000,7000000,-12.17
CMWG2108,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-10-09,2021-09-28,2021-09-30,2022-10-03,2022-03-14,5 : 1,,3500,126000,,2000000,2000000,-63.43
CMWG2109,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-09-08,2021-10-13,2021-10-15,2022-08-02,2022-10-02,3.32 : 1,,4000,112954,,1500000,1500000,29.25
CMWG2111,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2021-08-10,2021-10-27,2021-10-29,2022-06-04,2022-08-04,10 : 1,,1900,130000,,10000000,10000000,29.59
CMWG2112,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-01-11,2021-11-22,2021-11-24,2022-02-25,2022-01-03,5 : 1,,3420,140000,,12000000,12000000,-99.73
CMWG2201,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2021-12-20,2022-10-01,2022-12-01,2022-09-16,2022-09-20,4.9710 : 1,4.9710 : 1,2600,66860,66860,5000000,5000000,-66.15
CMWG2203,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2022-03-24,2022-04-26,2022-04-28,2022-09-22,2022-09-26,3.4797 : 1,3.4797 : 1,1990,73571,73571,3000000,3000000,-99.77
CMWG2204,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2022-08-04,2022-05-05,2022-09-05,2022-05-10,2022-07-10,4.9710 : 1,4.9710 : 1,3000,72080,72080,5000000,5000000,-99.82
CMWG2205,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2022-05-05,2022-05-30,2022-01-06,2022-03-11,2022-07-11,4.9710 : 1,4.9710 : 1,2200,77300,77300,7000000,7000000,-99.77
CMWG2206,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán BIDV (BSI),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2022-09-06,2022-06-27,2022-06-29,2023-05-01,2023-09-01,4.97 : 1,,2590,88060,,1800000,1800000,-99.59
CMWG2207,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2022-07-06,2022-07-25,2022-07-27,2022-03-11,2022-07-11,5.97 : 1,,3090,74565,,5000000,5000000,-99.61
CMWG2209,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2022-10-08,2022-02-09,2022-06-09,2022-08-12,2022-12-12,20 : 1,,1000,56999,,1300000,1300000,-99.13
CMWG2210,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2022-10-08,2022-02-09,2022-06-09,2023-08-03,2023-10-03,20 : 1,,1000,58999,,1300000,1300000,-99.13
CMWG2211,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2022-08-31,2022-09-20,2022-09-22,2022-12-30,2023-03-01,10 : 1,,1150,75000,,25000000,25000000,-99.08
CMWG2212,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2022-08-31,2022-09-20,2022-09-22,2023-03-29,2023-03-31,10 : 1,,1650,75000,,16000000,16000000,-99.36
CMWG2301,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2023-02-16,2023-07-03,2023-09-03,2023-07-13,2023-07-17,7 : 1,,1800,46300,,3500000,3500000,-31.14
CMWG2302,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2023-09-02,2023-09-03,2023-03-13,2023-07-11,2023-09-11,5.9430 : 1,5.9430 : 1,1350,49525,49525,12000000,12000000,-99.15
CMWG2303,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2023-05-30,2023-12-06,2023-06-14,2023-09-28,2023-02-10,19.8099 : 1,19.8099 : 1,1000,31035,31035,1300000,1300000,-5.41
CMWG2304,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2023-05-30,2023-12-06,2023-06-14,2023-12-29,2024-02-01,19.8099 : 1,19.8099 : 1,1000,33676,33676,1300000,1300000,-59.82
CMWG2305,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2023-05-25,2023-06-13,2023-06-15,2024-05-22,2024-05-24,3.9620 : 1,3.9620 : 1,2000,35658,35658,9000000,9000000,184.55
CMWG2306,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2023-04-08,2023-08-22,2023-08-24,2023-11-30,2023-04-12,8 : 1,,1000,50000,,20000000,20000000,-98.96
CMWG2307,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-04-08,2023-08-22,2023-08-24,2024-01-29,2024-01-31,8 : 1,,1100,50000,,20000000,20000000,-99.06
CMWG2308,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-07-24,2023-08-23,2023-08-25,2024-01-22,2024-01-24,4.95 : 1,,1800,52001,,10000000,10000000,-99.46
CMWG2309,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2023-04-08,2023-08-23,2023-08-25,2024-02-05,2024-06-05,5 : 1,,2000,54000,,5000000,5000000,-94.36
CMWG2310,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2023-04-08,2023-08-23,2023-08-25,2024-01-08,2024-05-08,4.9606 : 1,4.9606 : 1,2400,54070,54070,5000000,5000000,-32.18
CMWG2311,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-11-08,2023-09-13,2023-09-15,2024-02-13,2024-02-15,3 : 1,,1800,58900,,5000000,5000000,-99.48
CMWG2312,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán BIDV (BSI),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2023-09-25,2023-10-17,2023-10-19,2024-04-23,2024-04-25,3 : 1,,3160,56000,,3500000,3500000,-99.62
CMWG2402,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2024-06-06,2024-03-07,2024-05-07,2024-04-12,2024-06-12,4.96 : 1,,1500,63495,,15000000,15000000,-99.35
CMWG2404,,CTCP Đầu tư Thế giới Di động (HOSE: MWG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2024-06-14,2024-04-07,2024-08-07,2024-10-10,2024-10-14,3.97 : 1,,1900,67960,,25000000,25000000,-99.49
