,TradingDate,BaseStockCode,BaseClosePrice,BaseColorID,ClosePrice,ColorID,StatusID,FirstTradingDate,DueDate,ExercisePrice,ConversionRate,RemainDays,AnnualizedSigma,PriceOfCall,PriceOfPut,ticker
0,2019-09-08 17:00:00,FPT,53800,1,4700,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,2,0.2028,0.2026,437.4416,CFPT1901
1,2019-09-05 17:00:00,FPT,52900,1,4300,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,5,0.2031,0.7661,613.8644,CFPT1901
2,2019-09-04 17:00:00,FPT,52600,-1,4200,-1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,6,0.2031,0.8182,672.5365,CFPT1901
3,2019-09-03 17:00:00,FPT,53200,-1,4500,-1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,7,0.20270000000000002,4.3875,554.7259,CFPT1901
4,2019-09-02 17:00:00,FPT,53700,1,4720,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,8,0.2024,12.8974,461.8567,CFPT1901
5,2019-08-29 17:00:00,FPT,53100,1,4450,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,12,0.20220000000000002,14.2322,577.6749,CFPT1901
6,2019-08-28 17:00:00,FPT,52700,1,4300,-1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,13,0.20220000000000002,10.7432,652.8072,CFPT1901
7,2019-08-27 17:00:00,FPT,52100,-1,4590,-1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,14,0.2019,6.3093,766.9946,CFPT1901
8,2019-08-26 17:00:00,FPT,52800,-1,4780,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,15,0.20140000000000002,16.2756,635.5828,CFPT1901
9,2019-08-25 17:00:00,FPT,53700,-1,4730,1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,16,0.20070000000000002,41.801,479.7299,CFPT1901
10,2019-08-22 17:00:00,FPT,54400,1,4700,-1,2,2019-06-27 17:00:00,2019-09-10 17:00:00,56000,5,19,0.2003,86.8918,380.6873,CFPT1901
