symbol,Total Value
ABC,3177790000.0
APS,3081110000.0
ABI,4680080000.0
ADS,3398960000.0
ACC,2498445000.0
AMS,6083590000.0
APG,1644025000.0
API,5854210000.0
BIC,8073170000.0
CDC,6052440000.0
CCL,6710450000.0
CAP,4464210000.0
CNT,4958060000.0
CLX,7601040000.0
CMS,4324230000.0
CMX,7349985000.0
CTF,6008135000.0
CNG,3005560000.0
DBD,2118735000.0
DCL,5149395000.0
DC4,2443490000.0
CTI,3965855000.0
CTP,6191580000.0
DHT,5543850000.0
DL1,2629770000.0
DGT,3790750000.0
DHA,3495805000.0
E1VFVN30,4056313000.0
FCN,6755835000.0
DXP,3705940000.0
DVP,1715100000.0
HBC,2912445000.0
GLT,8446860000.0
GDT,2322115000.0
G36,3572570000.0
HID,3694767000.0
HCD,8911090000.0
HT1,3914780000.0
HRT,3077210000.0
IDJ,6054820000.0
IDI,5495800000.0
KHP,3561420000.0
IDV,1821020000.0
IMP,2671630000.0
ITA,7869953000.0
ITD,5302525000.0
IPA,1825500000.0
LIG,2510360000.0
LDG,2298660000.0
L14,2483830000.0
L18,2506840000.0
MPC,1918360000.0
LSS,4488565000.0
MAC,2109360000.0
NDN,3795080000.0
MSR,4112400000.0
MST,2300350000.0
NAF,3567355000.0
NAG,3183250000.0
NCT,2088120000.0
NTP,5247690000.0
NT2,5377125000.0
PAC,1636680000.0
NVB,4033040000.0
PLC,2797290000.0
PHP,5807790000.0
PHR,8220660000.0
PXL,3620910000.0
PVP,8062295000.0
PVC,7595200000.0
PVB,2453010000.0
PTB,7167350000.0
RAL,4790060000.0
SAM,2483542000.0
SCR,6149507000.0
SBS,1671210000.0
SEA,3413250000.0
SDA,4379460000.0
SJD,2910130000.0
SHI,3153345000.0
SLS,1733460000.0
SKG,3632860000.0
SGP,5552310000.0
SGR,4924510000.0
STK,1843790000.0
TDS,1871650000.0
TMB,3149720000.0
TEG,2131350000.0
TVC,7344550000.0
TVB,2943623000.0
TTF,3260176000.0
TXM,2131570000.0
TVN,6888330000.0
VCP,5425020000.0
VC7,2164330000.0
VLB,3917330000.0
VFG,4287970000.0
VNA,3336540000.0
VPH,4537687000.0
VTO,8442775000.0
FUEVN100,1653608000.0
