ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CFPT1902,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-06-26,2019-10-07,2019-12-07,2019-09-26,2019-09-30,0.9812 : 1,0.9812 : 1,3800,45135,45135,1000000,1000000,206.84
CFPT1903,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-06-26,2019-10-07,2019-12-07,2019-12-26,2019-12-30,0.9812 : 1,0.9812 : 1,6000,45135,45135,1000000,1000000,93.25
CFPT1904,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,3 tháng,2019-08-19,2019-04-09,2019-06-09,2019-11-15,2019-11-19,3 : 1,,1700,52000,,3000000,3000000,45.24
CFPT1905,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-07-10,2019-10-22,2019-10-24,2020-04-20,2020-04-22,1 : 1,,9900,55000,,1000000,1000000,-98.67
CFPT1906,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-08-10,2019-10-23,2019-10-25,2020-06-04,2020-08-04,5 : 1,,1700,57000,,5000000,5000000,-99.43
CFPT1908,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-12-17,2019-12-31,2020-03-01,2020-06-15,2020-06-17,2.5616 : 1,2.5616 : 1,3150,46108,46108,2400000,2400000,-92.07
CFPT2001,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2019-12-20,2020-01-20,2020-01-22,2020-06-18,2020-06-22,4.2693 : 1,4.2693 : 1,1600,47816,47816,5000000,5000000,-95.19
CFPT2002,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2020-01-22,2020-12-02,2020-02-14,2020-07-20,2020-07-22,1.7077 : 1,1.7077 : 1,2900,49524,49524,1000000,1000000,-99.46
CFPT2003,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2020-08-04,2020-04-21,2020-04-23,2020-05-11,2020-09-11,0.8360 : 1,0.8360 : 1,7300,41800,41800,2000000,2000000,37.52
CFPT2004,,CTCP FPT (HOSE: FPT),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2020-08-04,2020-04-21,2020-04-23,2020-06-08,2020-10-08,0.8539 : 1,0.8539 : 1,5100,42693,42693,2000000,2000000,-23.96
