ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CMBB2304,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2023-05-30,2023-12-06,2023-06-14,2023-09-28,2023-02-10,8.6967 : 1,8.6967 : 1,1000,13335,13335,1500000,1500000,-50.09
CMBB2305,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2023-05-30,2023-12-06,2023-06-14,2023-12-29,2024-02-01,8.6967 : 1,8.6967 : 1,1000,14783,14783,1500000,1500000,-62.96
CMBB2306,,Ngân hàng TMCP Quân Đội (HOSE: MBB),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2023-05-25,2023-06-13,2023-06-15,2024-05-22,2024-05-24,1.7393 : 1,1.7393 : 1,1800,17393,17393,20000000,20000000,67.68
CMBB2307,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2023-04-08,2023-08-22,2023-08-24,2023-11-30,2023-04-12,4 : 1,,1000,18000,,35000000,35000000,-98.95
CMBB2308,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-04-08,2023-08-22,2023-08-24,2024-01-29,2024-01-31,4 : 1,,1000,18500,,35000000,35000000,-6.32
CMBB2309,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2023-04-08,2023-08-22,2023-08-24,2024-02-05,2024-06-05,4 : 1,,1000,19000,,35000000,35000000,-10.53
CMBB2310,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-07-24,2023-08-23,2023-08-25,2024-01-22,2024-01-24,2 : 1,,1400,19000,,7000000,7000000,4.32
CMBB2311,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2023-04-08,2023-08-23,2023-08-25,2024-02-05,2024-06-05,2 : 1,,1700,19000,,7000000,7000000,3.05
CMBB2312,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2023-04-08,2023-08-23,2023-08-25,2024-01-08,2024-05-08,1.9569 : 1,1.9569 : 1,1900,19080,19080,7000000,7000000,40.38
CMBB2401,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2023-12-15,2024-01-02,2024-05-02,2024-06-17,2024-06-19,1.9569 : 1,1.9569 : 1,1060,19569,19569,5000000,5000000,37.46
CMBB2402,,Ngân hàng TMCP Quân Đội (HOSE: MBB),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2024-05-21,2024-07-06,2024-11-06,2025-05-19,2025-05-21,1.7029 : 1,1.7029 : 1,2000,20403,20403,11000000,11000000,-17.94
CMBB2403,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2024-06-06,2024-03-07,2024-05-07,2024-04-12,2024-06-12,2 : 1,,1200,23000,,7000000,7000000,-63.93
CMBB2404,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2024-06-06,2024-03-07,2024-05-07,2025-04-03,2025-06-03,1.7377 : 1,1.7377 : 1,1400,20418,20418,7000000,7000000,-8.8
CMBB2405,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2024-10-28,2024-11-18,2024-11-20,2025-07-24,2025-07-28,3.4754 : 1,3.4754 : 1,1100,22590,22590,27000000,27000000,-44.06
CMBB2406,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2024-10-28,2024-11-18,2024-11-20,2025-04-24,2025-04-28,3.4754 : 1,3.4754 : 1,1000,21721,21721,33000000,33000000,-45.22
CMBB2407,,Ngân hàng TMCP Quân Đội (HOSE: MBB),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,12 tháng,2024-04-11,2024-05-12,2024-09-12,2025-10-31,2025-04-11,1.7377 : 1,1.7377 : 1,2600,22590,22590,15000000,15000000,-50.91
CMBB2408,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2024-11-28,2024-12-24,2024-12-26,2025-03-26,2025-03-28,4.3443 : 1,4.3443 : 1,1000,24134,24134,1000000,1000000,-84.71
CMBB2409,,Ngân hàng TMCP Quân Đội (HOSE: MBB),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,7 tháng,2024-11-28,2024-12-24,2024-12-26,2025-06-26,2025-06-30,4.3443 : 1,4.3443 : 1,1000,25099,25099,1000000,1000000,-63.33
