symbol,Total Value
ADC,2090000.0
APP,30210000.0
ANT,248450000.0
ALV,157690000.0
ADP,20195000.0
ABT,10635000.0
AFX,504250000.0
AMC,1730000.0
AME,1380000.0
ASP,628733000.0
ACE,380970000.0
AGM,235020000.0
AMV,711230000.0
ACL,726220000.0
AGP,88390000.0
AAM,31994000.0
APL,1530000.0
ATS,1300000.0
BBC,5050000.0
BRS,12400000.0
BDG,254540000.0
BDW,16620000.0
BSG,56100000.0
BMC,559365000.0
BKC,67340000.0
BSP,28630000.0
BSQ,38220000.0
BMN,910000.0
BCE,64401000.0
BRC,44080000.0
BAX,25020000.0
BLF,12010000.0
BTS,213730000.0
BTU,25160000.0
BTT,16750000.0
C21,17000000.0
BTW,3890000.0
CDH,2420000.0
C47,82859000.0
CHP,144955000.0
CDN,606080000.0
CHS,4410000.0
C92,363750000.0
BST,6160000.0
C32,204110000.0
CCI,25800000.0
CAN,9000000.0
BXH,1590000.0
CCR,102370000.0
BTG,4400000.0
BVN,5200000.0
BTP,232205000.0
CLL,221325000.0
CLM,290800000.0
CLW,4510000.0
CSC,681850000.0
CMC,32010000.0
CSM,518665000.0
CIG,200551000.0
CT6,24920000.0
CMV,104030000.0
CPC,56000000.0
CNC,192150000.0
CLC,440760000.0
CLH,29940000.0
DFC,60090000.0
CVT,42080000.0
CTT,80600000.0
D11,10370000.0
DAD,9420000.0
CTW,5580000.0
DAE,23260000.0
DAG,248182000.0
DDN,36870000.0
DAT,6783000.0
DBT,75685000.0
DHG,455460000.0
DHM,159296000.0
DNW,710640000.0
DHP,1100000.0
DQC,16525000.0
DMC,110310000.0
DID,150400000.0
DIH,287660000.0
DOP,1270000.0
DST,211460000.0
DP3,182520000.0
DPH,9000000.0
DLG,964119000.0
DRL,539670000.0
DXV,155584000.0
DTV,27500000.0
EBS,214820000.0
EIC,2230000.0
EID,151320000.0
DTA,27673000.0
FCM,36297000.0
DTC,74630000.0
EVE,622120000.0
DTG,49660000.0
FCS,296970000.0
DTK,311560000.0
DTL,11200000.0
GHC,218210000.0
GVT,7520000.0
FUCVREIT,683000.0
GDW,110510000.0
GMC,12731000.0
GSM,125190000.0
H11,20240000.0
HAD,1500000.0
HAC,14000000.0
GMX,25340000.0
HAN,114090000.0
GTA,40855000.0
HAP,250356000.0
HAR,466909000.0
HAS,999000.0
GND,35550000.0
HNF,186570000.0
HLD,431810000.0
HHC,10790000.0
HFC,550000.0
HDA,19760000.0
HHG,591160000.0
HJS,26800000.0
HDM,187860000.0
HDP,6970000.0
HMC,142240000.0
HMH,5280000.0
HEC,120000000.0
HIG,232430000.0
HCC,144040000.0
HKT,38440000.0
HD2,491900000.0
HLC,153830000.0
HTL,748765000.0
HNM,99750000.0
HU4,151920000.0
HVT,703210000.0
HOM,309250000.0
HU3,173320000.0
HU6,147610000.0
HVX,25128000.0
HTV,6496000.0
HPT,226280000.0
HVA,254930000.0
HTI,435545000.0
HPD,161290000.0
ILC,155070000.0
ITQ,101050000.0
IVS,714120000.0
INN,10500000.0
ITS,203300000.0
KDM,156680000.0
IFS,472680000.0
ISH,179100000.0
KKC,630000.0
IST,445400000.0
KCB,208400000.0
ICG,410940000.0
KCE,1060000.0
ICF,36270000.0
ICI,940000.0
ICN,45960000.0
JVC,882441000.0
KPF,51846000.0
LHC,601580000.0
KSQ,388070000.0
L43,2250000.0
KTS,360630000.0
L45,63080000.0
L12,244820000.0
KST,1480000.0
KSV,491930000.0
LGL,241979000.0
LAF,127500000.0
KMR,53215000.0
LAI,238560000.0
LBM,147320000.0
KVC,672790000.0
MIC,3750000.0
MGC,497860000.0
MHC,243275000.0
MDC,69050000.0
MCG,305530000.0
MDG,42240000.0
MCF,19430000.0
MBG,790170000.0
MKP,6150000.0
MLS,2780000.0
MCO,220200000.0
MKV,27340000.0
LIX,959025000.0
MCP,200510000.0
NAS,141230000.0
NAV,11850000.0
MTL,20840000.0
NHC,3040000.0
NDC,41970000.0
NBC,372180000.0
NBP,14180000.0
NBW,18330000.0
NDX,40220000.0
MVB,14590000.0
MTA,25540000.0
NET,99620000.0
ND2,66500000.0
NCS,240160000.0
PCT,37440000.0
NNC,45345000.0
OPC,83790000.0
ONE,812950000.0
NS2,25480000.0
NVT,298460000.0
PDC,560000.0
PDB,29290000.0
NNT,23350000.0
NSC,115520000.0
PBP,43430000.0
NUE,2040000.0
OGC,632945000.0
NST,24720000.0
PCE,61270000.0
OCH,34680000.0
NTC,860810000.0
PNC,975000.0
PJC,5380000.0
PHC,247969000.0
PPP,1730000.0
PFL,347080000.0
PHS,1220000.0
PJT,7695000.0
PMB,74750000.0
PGD,168645000.0
PGC,194230000.0
PMP,25620000.0
PGI,316770000.0
POS,720720000.0
POV,850000.0
PMS,12080000.0
PEN,700000.0
PIT,26678000.0
PGT,350000.0
PIV,754700000.0
PGS,2990000.0
PRC,27020000.0
PVG,516440000.0
PXI,68310000.0
PTD,1220000.0
PTI,106110000.0
PVM,335710000.0
PVO,489010000.0
PTL,246645000.0
PRO,6500000.0
PTS,379060000.0
PTT,7130000.0
PPS,10950000.0
PSD,361410000.0
PSC,11300000.0
PSE,67880000.0
PSI,346720000.0
PSL,38040000.0
PSP,28200000.0
PV2,317080000.0
PSW,331190000.0
PTC,38491000.0
QHW,38950000.0
RTB,5140000.0
PXT,107020000.0
S74,2800000.0
S55,9970000.0
RCC,1970000.0
SAC,553580000.0
RCL,66050000.0
RDP,822031000.0
SD4,16170000.0
SDT,260450000.0
SD3,135870000.0
SDV,18700000.0
SD5,183340000.0
SDU,57300000.0
SBV,19660000.0
SD9,345660000.0
SEB,333980000.0
SDD,106980000.0
SED,36770000.0
SBA,198345000.0
SDG,20420000.0
SCI,282970000.0
SDK,123300000.0
SCJ,175510000.0
SDN,2980000.0
SCL,153760000.0
SHA,109281000.0
SHC,24540000.0
SJE,885720000.0
SFC,38700000.0
SFG,40300000.0
SFI,169180000.0
SJM,1910000.0
SHN,4560000.0
SHP,103870000.0
SFN,48470000.0
SJS,849030000.0
SMA,1020000.0
SMB,276880000.0
SID,26710000.0
SMT,55180000.0
SVC,267760000.0
SRB,148600000.0
STC,10360000.0
SRA,431120000.0
SZL,206245000.0
SVG,580000.0
SRF,999000.0
SPC,28600000.0
STG,17485000.0
SVI,130000000.0
SVN,81050000.0
SPI,45460000.0
SVT,156515000.0
SPM,1120000.0
SWC,624440000.0
SSC,52580000.0
SQC,900000.0
TA9,508180000.0
SZE,217290000.0
TCO,272010000.0
TIX,3500000.0
TCR,13317000.0
TCT,194390000.0
TJC,32160000.0
TFC,67260000.0
THG,165795000.0
TDH,203367000.0
TDM,622910000.0
TLT,6200000.0
THS,3180000.0
THT,203390000.0
THW,1170000.0
TMP,48910000.0
TMT,73790000.0
TMS,293120000.0
TGP,5700000.0
TIS,957450000.0
TRA,39800000.0
