,exchange,shortName,industryID,industryIDv2,industryIdLevel2,industryIdLevel4,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,ticker
VPI,HOSE,Đầu tư Văn Phú - Invest,336,8633,8600,8633,Bất động sản,Real Estate,2008,259,348,0.11,https://vanphu.vn,2.2,0.014,-0.023,0.151,320.0,320.0,CT,VPI
VRE,HOSE,Vincom Retail,336,8633,8600,8633,Bất động sản,Real Estate,2012,2664,25781,0.177,https://vincom.com.vn,2.9,0.002,0.019,-0.396,2272.3,2328.8,CT,VRE
VSH,HOSE,Thủy điện Vĩnh Sơn - Sông Hinh,274,7535,7500,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2004,226,2476,0.119,http://www.vshpc.evn.com.vn,2.9,0.003,0.032,0.06,236.2,236.2,CT,VSH
CAP,HNX,Lâm nông sản Yên Bái,156,1737,1700,1737,Tài nguyên Cơ bản,Basic Resources,2004,436,285,0.011,http://www.yfatuf.com.vn,2.5,-0.019,0.06,-0.199,15.3,15.3,CT,CAP
SLS,HNX,Mía đường Sơn La,218,3577,3500,3577,Thực phẩm và đồ uống,Food & Beverage,1995,430,590,0.005,https://miaduongsonla.vn,3.6,-0.011,0.076,0.465,9.8,9.8,CT,SLS
L14,HNX,Licogi 14,181,2357,2300,2357,Xây dựng và Vật liệu,Construction & Materials,1982,110,8688,0.004,http://www.licogi14.vn,2.4,-0.003,0.037,-0.312,30.9,30.9,CT,L14
SHS,HNX,Chứng khoán SG - HN,300,8777,8700,8777,Dịch vụ tài chính,Financial Services,2007,295,53254,0.056,https://www.shs.com.vn,2.8,0.0,0.085,-0.256,813.2,813.2,CK,SHS
HLD,HNX,Bất động sản HUDLAND,336,8633,8600,8633,Bất động sản,Real Estate,2007,45,130,0.042,http://www.hudland.com.vn,2.0,0.012,-0.05,-0.04,31.6,31.6,CT,HLD
PVC,HNX,Hóa chất và Dịch vụ Dầu khí,316,573,500,573,Dầu khí,Oil & Gas,2005,380,0,0.002,https://pvchem.com.vn,3.0,0.02,0.085,-0.264,81.2,81.2,CT,PVC
BCC,HNX,Xi măng Bỉm Sơn,180,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,2006,1227,0,0.007,https://ximangbimson.com.vn,2.2,-0.031,0.097,-0.257,123.2,123.2,CT,BCC
TVD,HNX,Than Vàng Danh,160,1771,1700,1771,Tài nguyên Cơ bản,Basic Resources,2008,5680,0,0.022,https://vangdanhcoal.com.vn,2.7,-0.03,0.094,-0.101,45.0,45.0,CT,TVD
VCS,HNX,VICOSTONE,180,2353,2300,2353,Xây dựng và Vật liệu,Construction & Materials,2005,834,4759,0.016,https://vicostone.com,2.6,-0.017,-0.05,-0.094,160.0,160.0,CT,VCS
PVS,HNX,DVKT Dầu khí PTSC,316,573,500,573,Dầu khí,Oil & Gas,2006,7209,18979,0.188,http://www.ptsc.com.vn,3.0,0.031,0.047,-0.061,478.0,478.0,CT,PVS
SSI,HOSE,Chứng khoán SSI,300,8777,8700,8777,Dịch vụ tài chính,Financial Services,1999,1553,74489,0.389,https://www.ssi.com.vn,2.9,0.031,0.01,-0.116,1961.9,1963.9,CK,SSI
